"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"CCNB2",0.721,0.704741409200072,0.442,3.03696068587533,0.54,0.139,"6","CCNB2"
"CAT",0.721,0.466577323093853,0.442,0.957508777834923,0.929,0.749,"6","CAT"
"MT-CO31",0.72,0.237067304307145,0.44,0.350284565616119,1,0.998,"6","MT-CO3"
"AC084033.3",0.72,0.40519503533586,0.44,0.905457310414045,0.914,0.659,"6","AC084033.3"
"HNRNPDL",0.717,0.364453003347232,0.434,0.653358676722902,0.988,0.887,"6","HNRNPDL"
"CCT4",0.716,0.365299366165151,0.432,0.670960856067982,0.976,0.881,"6","CCT4"
"GGH1",0.713,0.441551384746978,0.426,1.42432605174473,0.716,0.377,"6","GGH"
"NCL1",0.713,0.382819710574888,0.426,0.622953594877405,1,0.943,"6","NCL"
"YBX11",0.711,0.267940579693794,0.422,0.408696515073264,1,0.991,"6","YBX1"
"ATP5MPL1",0.709,0.276748458506916,0.418,0.456976686797571,1,0.964,"6","ATP5MPL"
"VDAC11",0.709,0.345570700998662,0.418,0.646370529431724,0.99,0.853,"6","VDAC1"
"HSP90B1",0.706,0.434278932555189,0.412,0.793613301673339,0.951,0.824,"6","HSP90B1"
"ARF5",0.706,0.371281137922136,0.412,1.24623842907778,0.704,0.349,"6","ARF5"
"TMED2",0.705,0.335887899233897,0.41,0.684147647667185,0.944,0.82,"6","TMED2"
"HSPE11",0.705,0.370324083780433,0.41,0.616655565422602,0.995,0.902,"6","HSPE1"
"PCLAF1",0.704,0.263741993336456,0.408,0.5844529981644,0.841,0.401,"6","PCLAF"
"LMNB11",0.703,0.426366718931342,0.406,1.35634736093257,0.697,0.394,"6","LMNB1"
"CLEC11A",0.702,0.584704904554378,0.404,1.48082224511645,0.707,0.415,"6","CLEC11A"
"YWHAE",0.701,0.290380636667625,0.402,0.493811016420343,0.988,0.944,"6","YWHAE"
"HSPH1",0.701,0.433068834130316,0.402,1.10357561780567,0.8,0.551,"6","HSPH1"
"PPP1CC",0.701,0.356385959985962,0.402,0.811149968568864,0.9,0.716,"6","PPP1CC"
"EEF22",0.896,0.627320286825206,0.792,0.965515133721618,1,0.988,"7","EEF2"
"RPS4Y11",0.869,1.04161679309506,0.738,1.97574789447677,0.963,0.294,"7","RPS4Y1"
"RPS31",0.856,0.29037893137968,0.712,0.424911962423903,1,1,"7","RPS3"
"RPL52",0.844,0.346967638459543,0.688,0.5149348370193,1,0.998,"7","RPL5"
"RPL35",0.843,0.33889727623324,0.686,0.496356111502836,1,0.998,"7","RPL3"
"CYTL11",0.842,0.870473448863993,0.684,1.52077150915831,0.988,0.769,"7","CYTL1"
"RPLP0",0.828,0.277687401390594,0.656,0.411305842977754,1,0.998,"7","RPLP0"
"RPL4",0.824,0.312058709851915,0.648,0.470614418952404,1,0.996,"7","RPL4"
